-10, -10, 8.99345
-10, -9.5, 9.09141
-10, -9, 8.92573
-10, -8.5, 8.51986
-10, -8, 8.02803
-10, -7.5, 7.51321
-10, -7, 6.94757
-10, -6.5, 6.32231
-10, -6, 5.6677
-10, -5.5, 5.00151
-10, -5, 4.30142
-10, -4.5, 3.55253
-10, -4, 2.78778
-10, -3.5, 2.05461
-10, -3, 1.37794
-10, -2.5, 0.770575
-10, -2, 0.248061
-10, -1.5, -0.176516
-10, -1, -0.50045
-10, -0.5, -0.730284
-10, 0, -0.875902
-10, 0.5, -0.946177
-10, 1, -0.948221
-10, 1.5, -0.888427
-10, 2, -0.76988
-10, 2.5, -0.584313
-10, 3, -0.313848
-10, 3.5, 0.0424618
-10, 4, 0.444363
-10, 4.5, 0.832119
-10, 5, 1.16937
-10, 5.5, 1.45452
-10, 6, 1.70649
-10, 6.5, 1.9506
-10, 7, 2.21107
-10, 7.5, 2.50718
-10, 8, 2.85128
-10, 8.5, 3.24753
-10, 9, 3.68953
-10, 9.5, 4.15578
-10, 10, 4.6098
-9.5, -10, 8.65061
-9.5, -9.5, 8.8843
-9.5, -9, 8.94362
-9.5, -8.5, 8.72196
-9.5, -8, 8.22073
-9.5, -7.5, 7.5981
-9.5, -7, 6.94618
-9.5, -6.5, 6.27921
-9.5, -6, 5.61361
-9.5, -5.5, 4.94907
-9.5, -5, 4.25536
-9.5, -4.5, 3.51959
-9.5, -4, 2.77476
-9.5, -3.5, 2.06257
-9.5, -3, 1.40186
-9.5, -2.5, 0.802449
-9.5, -2, 0.280379
-9.5, -1.5, -0.148608
-9.5, -1, -0.479067
-9.5, -0.5, -0.715905
-9.5, 0, -0.868433
-9.5, 0.5, -0.945464
-9.5, 1, -0.954053
-9.5, 1.5, -0.900514
-9.5, 2, -0.788567
-9.5, 2.5, -0.611475
-9.5, 3, -0.351182
-9.5, 3.5, -0.00212776
-9.5, 4, 0.401015
-9.5, 4.5, 0.798653
-9.5, 5, 1.15031
-9.5, 5.5, 1.45111
-9.5, 6, 1.71897
-9.5, 6.5, 1.97937
-9.5, 7, 2.25671
-9.5, 7.5, 2.57004
-9.5, 8, 2.93093
-9.5, 8.5, 3.34224
-9.5, 9, 3.79502
-9.5, 9.5, 4.26419
-9.5, 10, 4.71143
-9, -10, 8.35486
-9, -9.5, 8.52182
-9, -9, 8.69926
-9, -8.5, 8.68203
-9, -8, 8.36968
-9, -7.5, 7.748
-9, -7, 6.99783
-9, -6.5, 6.26127
-9, -6, 5.5689
-9, -5.5, 4.89836
-9, -5, 4.20765
-9, -4.5, 3.48404
-9, -4, 2.75918
-9, -3.5, 2.06836
-9, -3, 1.42426
-9, -2.5, 0.833602
-9, -2, 0.31263
-9, -1.5, -0.120388
-9, -1, -0.457217
-9, -0.5, -0.701013
-9, 0, -0.860432
-9, 0.5, -0.944201
-9, 1, -0.959333
-9, 1.5, -0.91203
-9, 2, -0.8065
-9, 2.5, -0.637487
-9, 3, -0.387156
-9, 3.5, -0.0458043
-9, 4, 0.357831
-9, 4.5, 0.765122
-9, 5, 1.13167
-9, 5.5, 1.44902
-9, 6, 1.73381
-9, 6.5, 2.01149
-9, 7, 2.30656
-9, 7.5, 2.63772
-9, 8, 3.01577
-9, 8.5, 3.44204
-9, 9, 3.90471
-9, 9.5, 4.37511
-9, 10, 4.81392
-8.5, -10, 8.18292
-8.5, -9.5, 8.21603
-8.5, -9, 8.3126
-8.5, -8.5, 8.38284
-8.5, -8, 8.22354
-8.5, -7.5, 7.79587
-8.5, -7, 7.08439
-8.5, -6.5, 6.28484
-8.5, -6, 5.54682
-8.5, -5.5, 4.85692
-8.5, -5, 4.16226
-8.5, -4.5, 3.44792
-8.5, -4, 2.74204
-8.5, -3.5, 2.07245
-8.5, -3, 1.44534
-8.5, -2.5, 0.864056
-8.5, -2, 0.344765
-8.5, -1.5, -0.0919264
-8.5, -1, -0.434979
-8.5, -0.5, -0.685694
-8.5, 0, -0.851991
-8.5, 0.5, -0.942483
-8.5, 1, -0.964153
-8.5, 1.5, -0.923072
-8.5, 2, -0.823795
-8.5, 2.5, -0.662461
-8.5, 3, -0.421787
-8.5, 3.5, -0.088427
-8.5, 4, 0.31506
-8.5, 4.5, 0.731841
-8.5, 5, 1.11386
-8.5, 5.5, 1.44879
-8.5, 6, 1.75167
-8.5, 6.5, 2.04777
-8.5, 7, 2.36155
-8.5, 7.5, 2.71133
-8.5, 8, 3.10707
-8.5, 8.5, 3.54833
-8.5, 9, 4.01998
-8.5, 9.5, 4.48999
-8.5, 10, 4.91903
-8, -10, 8.09323
-8, -9.5, 8.03725
-8, -9, 7.99834
